ebitdaMargins,profitMargins,grossMargins,revenueGrowth,operatingMargins,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,debtToEquity,returnOnEquity,totalCashPerShare,revenuePerShare,quickRatio,enterpriseToRevenue,enterpriseToEbitda,forwardEps,heldPercentInstitutions,priceToBook,shortRatio,beta,earningsQuarterlyGrowth,priceToSalesTrailing12Months,pegRatio,forwardPE,trailingPE,dividendYield,Ticker
0.32867,0.25882,0.41779,0.288,0.29782,0.662,1.075,0.20179,42,216.392,1.47443,3.818,21.904,0.91,8.261,25.135,6.18,0.58707,42.91851,1,1.203116,0.622,7.393301,2,26.674759,29.385027,0.0049,AAPL
0.50286996,0.20538001,0.69338,0.074,0.34765,248.779,,,25,594.66,0.86594003,6.929,31.625,,5.808,11.55,13.97,0.69636,19.509459,1.97,0.79811,111.333,4.7043214,2.38,10.704366,35.638702,0.0387,ABBV
0.29229,0.17122,0.5685,0.234,0.20906,0.696,1.826,0.0774,20,53.112,0.21862,5.481,23.815,1.251,5.885,20.136,4.76,0.75314003,6.2884007,1.86,0.685714,0.705,5.1162047,2.03,25.716387,30.37469,0.0138,ABT
0.16804,0.11533,0.32348,0.272,0.15195,0.197,1.223,0.124560006,,16.607,0.31948,8.931,84.725,1.101,4.198,24.983,10.45,0.7388,10.015839,1.18,1.213823,0.194,3.7961352,3.82,30.862202,33.549362,0.0108,ACN
0.41681,0.30548,0.88185,0.2,0.36756,-0.445,1.248,0.14076,28,31.581,0.34368,12.181,33.092,1.107,15.908,38.165,16.25,0.85205,14.975873,1.65,1.003041,-0.452,14.032558,2.62,28.648617,46.461075,,ADBE
0.26134002,0.118039995,0.34179002,0.302,0.16658,5.081,0.743,0.00841,14,48.051,0.08906,19.744,54.865,0.198,1.382,5.287,5.36,0.93468004,0.8199828,1.56,1.37922,4.788,1.1075784,0.41,11.783582,9.904344,0.0217,AIG
0.47642,0.21767999,0.75421995,0.044,0.34998,-0.035,1.643,0.08696,25,457.332,0.585,22.939,44.89,1.192,6.068,12.738,17.95,0.77142996,15.610947,3.97,0.639128,-0.068,4.96287,2.28,12.64791,23.40274,0.0332,AMGN
0.63285,0.27445,0.72116,0.219,0.39266,0.519,0.773,0.04348,20,434.983,0.34478,7.196,20.135,0.668,19.03,30.07,5.46,0.92364997,19.66504,2.09,0.344935,0.557,11.778801,2.96,42.794872,42.429634,0.0197,AMT
0.1319,0.057350002,0.41307,0.153,0.06178,-0.505,1.117,0.05321,51,113.001,0.25832,155.75,909.112,0.866,3.835,29.078,51.53,0.59177,12.934327,1.06,1.126233,-0.502,3.4060912,2.27,59.68892,60.19237,,AMZN
0.53639,0.24539,0.73908997,0.145,0.31632,0.521,2.641,0.07164,30,161.163,0.27556,29.459,66.951,2.266,9.65,17.99,36.05,0.82355005,9.728661,1.47,1.031327,0.502,8.844227,1.38,16.310957,39.20067,0.0286,AVGO
0,0.18895,0.7108,0.375,0.23612,0.745,1.587,0.04188,26,150.569,0.33606,35.637,51.574,1.582,3.349,,9.67,0.84897006,6.1698947,2.19,1.243284,0.702,3.6444716,0.42,20.032059,20.235037,0.0104,AXP
0.02631,-0.06746,0.08625,-0.033,-0.00811,,1.325,-0.00217,,,,27.863,105.929,0.337,2.683,101.952,4.76,0.54223,,0.97,1.46892,,1.9010627,-5.13,42.32773,,,BA
0,0.34126,0,0.125,0.36258,0.347,,0.010679999,25,,0.11778,96.467,11.033,,1.646,,3.16,0.72406,1.4898899,1,1.426653,0.282,3.931908,0.56,14.246835,13.479042,0.019299999,BAC
0.27191,0.13925,0.82522005,-0.177,0.23021999,-0.502,1.701,0.06554,30,70.019,0.19474001,20.117,73.623,1.206,3.438,12.643,18.53,0.86286,2.920845,1.38,0.436598,-0.531,2.744261,-1.94,11.191581,20.297544,,BIIB
0,0.23257999,0,0.053,0.29266,0.282,,0.00825,16,,0.084259994,213.074,18.972,,-3.745,,4.57,0.83271,1.14952,1.76,1.108403,0.151,2.7781143,1.08,11.897155,13.852229,0.025899999,BK
0.22017999,0.04145,0.74974996,0.771,0.17276,-0.046,2.483,0.04375,28,208.007,0.07305,296.249,224.697,2.374,10.916,49.575,100.38,0.92361,16.895323,1.15,1.220779,-0.04,10.165631,0.27,22.728233,246.64432,,BKNG
0.41139,0.30972,0.50816,0.156,0.38963002,0.228,1.427,0.02727,12,21.949,0.16974,47.111,122.998,0.625,7.583,18.433,42.25,0.8621,3.0997458,2.73,1.202077,0.232,6.085027,1.8,17.772072,19.96623,0.018,BLK
0.44366002,0.15078,0.79871005,0.083,0.21174999,,1.521,0.0539,20,126.634,0.18985,7.901,20.885,1.36,3.79,8.542,7.84,0.76309997,4.103788,2.03,0.586275,,3.292255,1.39,8.775511,,0.032,BMY
0,0.29273,0,0.047,0.36630002,-0.17,,0.00968,24,,0.10931,464.254,36.886,,-3.935,,7.85,0.77550006,0.6724895,1.32,1.691695,-0.203,1.6400193,0.32,7.8955417,5.87043,0.0305,C
0.18108,0.12731,0.29434,0.228,0.13494,1.764,1.456,0.05336,23,228.802,0.40715998,17.178,93.697,0.892,2.713,14.98,10.9,0.68342,6.0719967,1.4,0.897563,1.718,1.9852194,0.65,17.161469,20.010698,0.0218,CAT
0.39200002,0.08396,0.44784,0.092,0.20658001,0.667,0.286,0.04602,28,417.43,0.17694001,2.599,270.338,0.254,4.03,10.281,31.27,0.70838,6.328999,6.06,0.944247,0.495,2.1094959,0.77,19.224815,27.396435,,CHTR
0.25412,0.15367,0.6031,0.063,0.22224002,-0.074,1.091,0.15369001,20,750.243,2.7066698,1.255,20.452,0.58,4.451,17.514,3.39,0.80336,111.46933,1.8,0.620881,-0.092,3.7977295,4.32,23.050146,24.88535,0.0216,CL
0.2935,0.12731,0.66587996,0.187,0.17506,0.955,1.026,0.04559,34,104.661,0.15312,2.584,24.781,0.889,2.868,9.772,3.69,0.8554,2.2452776,2.67,0.944247,0.999,1.8905128,0.87,12.756097,15.139916,0.0196,CMCSA
0,0.39511,0,0.159,0.51345,0.34,,0.029590001,21,,0.20556,71.784,70.22,,2.613,,19.31,0.91916,1.1469558,1.71,1.653319,0.29,2.0612102,0.12,7.95391,5.7440443,0.0151,COF
0.42903998,0.17315,0.49155998,1.771,0.27435,,1.335,0.10439,29,45.371,0.21471001,5.072,35.237,1.103,2.744,6.395,7.8,0.80088997,2.7287948,1.99,1.441074,,2.579952,-7.27,11.701282,24.754541,0.0162,COP
0.046350002,0.02543,0.12755999,0.166,0.03744,0.137,1.015,0.07643,31,53.237,0.30563,30.39,458.227,0.462,1.105,23.838,13.96,0.69074994,12.428907,1.6,0.684236,0.136,1.1299344,4.42,37.069485,44.496128,0.0062,COST
0.13629,0.06961,0.74017996,0.266,0.03887,-0.591,1.061,0.00828,46,25.131,0.035720002,9.534,26.634,0.892,8.395,61.594,4.71,0.80315,3.5888724,1.52,1.070611,-0.567,8.204325,5.29,44.180466,114.460945,,CRM
0.31235,0.2244,0.63726,0.081,0.27665,0.373,1.618,0.09196,24,25.032,0.28190002,5.537,12.038,1.408,4.227,13.532,3.68,0.74882007,5.534268,1.85,0.982098,0.371,4.6536627,2.73,15.228261,20.832714,0.0275,CSCO
0.06276,0.02668,0.17351,0.1,0.04679,0.29,0.94,0.03551,29,105.414,0.10556,9.721,215.709,0.589,0.718,11.439,8.27,0.78749,1.8541893,2.32,0.808311,0.306,0.4848292,2.27,12.61185,18.205622,0.0211,CVS
0.21459,0.10041001,0.42565,0.846,0.09956,,,,30,27.316,0.116450004,3.129,81.214,,1.877,8.748,9.51,0.68167996,1.9917991,1.59,1.165589,,1.739066,-2.98,14.761304,27.13706,0.0421,CVX
0.25208,0.29224002,0.3496,0.177,0.11302,,2.013,0.026530001,18,40.603,0.04642,3.223,37.144,1.071,2.378,9.432,4.94,0.73316,1.5187238,1.93,1.257142,,1.8227382,1.25,15.803643,7.214675,0.014500001,DD
0.34402,0.20973,0.60748,0.229,0.26959,0.328,1.485,0.06086,18,56.662,0.14245,3.571,39.327,0.942,8.677,25.224,10.14,0.80772,4.9654155,1.68,0.701976,0.311,7.110124,1.46,27.539446,35.428825,0.0028,DHR
0.12761,0.029590001,0.33058,0.26,0.051799998,,1.083,0.010770001,,57.044,0.025390001,8.78,37.124,0.944,5.03,39.415,5.06,0.66493,3.0698638,1.63,1.188571,,4.0314856,1.07,29.551384,136.6819,,DIS
