sector,ebitdaMargins,profitMargins,grossMargins,revenueGrowth,operatingMargins,earningsGrowth,currentRatio,returnOnAssets,numberOfAnalystOpinions,debtToEquity,returnOnEquity,totalCashPerShare,revenuePerShare,quickRatio,enterpriseToRevenue,enterpriseToEbitda,forwardEps,heldPercentInstitutions,priceToBook,shortRatio,beta,earningsQuarterlyGrowth,priceToSalesTrailing12Months,pegRatio,forwardPE,trailingPE,dividendYield,trailingPegRatio,R&D/Revenue,SGA/Revenue,Ticker
Industrials,0.2745,0.16747,0.46893,0.003,0.22034,-0.043,1.705,0.10313,19,121.168,0.42278,8.344,61.062,1.055,2.817,10.261,11.11,0.68477994,5.720421,3.25,0.95624,-0.047,2.4312336,1.94,13.547255,14.872529,0.0396,2.023,0.055918540517607127,0.192674303493141,MMM
Industrials,0.19407,0.13764,0.37042,0.193,0.17206,0.182,1.566,0.114709996,9,12.591,0.26469,4.012,22.131,1.131,2.973,15.318,3.81,0.96483004,5.970573,3.09,1.163102,0.163,3.0860305,2.51,18.212599,22.976822,0.0161,2.0056,,0.19836672412331516,AOS
Healthcare,0.29613,0.16416,0.58059,0.072,0.214,-0.075,1.85,0.077989995,19,53.439,0.20488001,5.812,24.268,1.277,5.226,17.646,5.16,0.75394,6.031535,1.19,0.741919,-0.08,5.011436,1.84,23.72287,31.06853,0.0154,2.1899,0.06356355194428323,0.255507835171213,ABT
Healthcare,0.49914002,0.20538001,0.69191,0.074,0.34750998,248.899,0.794,0.08217,23,502.701,0.80952,5.558,31.75,0.563,5.913,11.847,12.31,0.68986,17.162859,1.97,0.79811,111.333,4.7066364,2.53,12.147846,23.184496,0.0377,,0.124241507553784,0.21125682865633397,ABBV
Healthcare,0.27996,0.13262,0.81779,0.127,0.25316998,-0.259,6.98,0.10507,5,0.779,0.09875,14.703,22.108,5.979,13.514,48.272,4.62,0.94161004,9.919953,2.27,1.359025,-0.26,14.1701,11.42,67.597404,107.356476,,,0.1409627124723606,0.39324406918050503,ABMD
Technology,0.16804,0.11533,0.32348,0.272,0.15195,0.197,1.223,0.124560006,,16.607,0.31948,8.931,84.725,1.101,3.764,22.397,10.45,0.74563,10.015839,1.28,1.213823,0.194,3.7930865,2.95,30.862202,33.549362,0.012,2.5436,,0.17300638593623713,ACN
Communication Services,0.39214,0.3066,0.73679,-0.103,0.37896,0.106,5.208,0.08658,28,20.501,0.16540001,13.38,11.329,4.726,6.433,16.404,4.32,0.86797,3.6048162,0.76,0.578816,0.108,7.207361,1.38,18.851852,23.67442,0.0058,6.018,0.1518800408951494,0.2059525161876633,ATVI
Consumer Defensive,0.04615,0.03178,0.07023,0.284,0.03446,0.131,1.454,0.03469,13,46.475,0.12761,1.759,151.151,0.299,0.636,13.787,5.2,0.80174005,1.9657183,1.6,0.809547,0.138,0.5202991,2.2,15.173078,16.471817,0.020299999,21.7171,,0.0352614106910345,ADM
Technology,0.40405,0.30548,0.88185,0.2,0.36756,-0.447,1.251,0.14076,27,31.581,0.34368,12.292,33.071,1.107,13.84,34.254,16.27,0.85128,14.944145,1.35,1.01442,-0.452,13.93075,2.03,28.6134,46.461075,,1.7232,0.1609122584732341,0.342477035159962,ADBE
Industrials,0.26082,0.1748,0.4493,0.089,0.22843,0.093,1.041,0.04133,16,68.328,0.50117,4.201,37.143,0.092,5.576,21.379,7.59,0.80875,17.014404,2.38,0.834908,0.072,5.4687257,2.14,26.9249,31.634674,0.020399999,2.7169,,0.20057445986111666,ADP
Consumer Cyclical,0.10561,0.056020003,0.44839,0.013,0.08197,-0.207,1.211,0.04689,17,122.658,0.18425,9.932,171.768,0.267,1.426,13.504,15.4,1.023,4.0393386,4.08,1.252113,-0.271,1.1420119,0.94,13.348702,21.525654,0.0292,1.1085,,0.36390671058136176,AAP
Utilities,0.32321998,-0.03671,0.24334,0.082,0.22844,,1.132,0.047080003,10,409.437,-0.20434,1.762,16.616,0.548,3.069,9.496,1.63,0.96179,7.1341667,1.66,0.861263,,1.2634432,1.89,12.950921,,0.0299,1.6843,,0.014899919217305449,AES
Financial Services,0.25355,0.19565001,0.41182998,-0.081,0.25152,0.16,0.729,0.021540001,13,30.59,0.12946999,10.428,32.817,0.54,1.975,7.788,5.49,0.60944,1.2149203,3.73,0.929885,0.091,1.8211747,3.71,11.284154,9.694836,0.025799999,,,0.16031846557495702,AFL
Healthcare,0.27603,0.18697001,0.5398,0.081,0.22529,0,2.193,0.09075,,52.968,0.24202,3.86,21.288,1.492,6.469,23.435,4.74,0.91217005,7.784051,2.66,1.043262,-0.017,6.2324195,2.29,28.213081,33.93301,0.0063,2.6099,0.06978952365880678,0.24719101123595505,A
Financial Services,0.30369,0.18037,0.37523997,0.504,0.21468,,0.705,0.01181,13,45.497,0.14581001,18.85,60.924,0.186,1.362,4.485,6.22,0.93023,0.7897863,1.52,1.33267,,0.988686,0.38,10.154341,5.8373384,0.020299999,,,0.16056024131107227,AIG
Basic Materials,0.33422002,0.199,0.28922,0.261,0.21269,0.163,2.465,0.05467,22,51.713,0.15432,16.682,49.355,2.155,5.262,15.745,11.68,0.84933996,3.8550239,2.49,0.830929,0.163,4.8708034,2.03,20.580479,24.553627,0.027,1.2977,0.00905744454131551,0.07213019471083987,APD
Technology,0.33548,0.18827,0.63338,0.07,0.23321,0.425,2.43,0.06345,15,63.111,0.14840999,6.697,21.278,2.219,5.414,16.138,6.58,0.94519997,3.7434697,10.16,0.540527,0.416,4.899462,1.42,16.007599,26.801527,,0.9175,0.09689407472445433,0.2893988627719162,AKAM
Industrials,0.022179998,0.0774,0.15204,1.35,-0.04161,,0.982,-0.011469999,12,107.735,0.14082,24.747,49.383,0.918,1.332,60.057,6.5,0.75331,1.906986,1.21,1.546494,,1.1736971,-0.81,8.856923,15.270557,,,,0.028011658031088082,ALK
Basic Materials,0.25505,0.03716,0.30302998,0.017,0.17873,,1.071,0.0347,21,43.972,0.03892,3.753,28.729,0.608,7.44,29.169,8.63,0.82835996,3.9928856,1.74,1.5271,,6.750463,1.01,22.242178,181.08492,0.0082,1.2841,0.016233983792458856,0.10806660062014023,ALB
Real Estate,0.60977,0.26864,0.70676005,0.262,0.2494,-0.856,2.064,0.0125,11,48.476,0.040289998,2.259,14.473,1.706,20.075,32.922,4.27,0.93267,1.8907231,5.82,0.843361,-0.83,14.568138,486.3,45.35831,50.70157,0.0238,,,0.0712286699852568,ARE
Healthcare,0.27372,0.19532,0.74264,0.236,0.24702999,0.205,1.296,0.11331,12,2.834,0.22518998,14.872,50.085,1.075,9.943,36.324,15.64,0.88339996,11.143335,1.72,1.673296,0.201,10.22545,0.89,32.772377,52.89577,,2.2001,0.06332945738787588,0.4322842980693136,ALGN
Industrials,0.21389,0.16845,0.42021,-0.025,0.18892,0.246,1.859,0.11063,13,201.272,0.60602003,4.51,31.895,1.181,3.939,18.417,6.48,0.90328,13.375945,2.32,1.151665,0.209,3.5416474,1.93,17.762346,21.554306,0.014199999,1.8718,,0.23128967008439702,ALLE
Utilities,0.39330003,0.17961,0.42409,0.135,0.21423,0.381,0.52,0.027090002,9,132.037,0.11096,0.156,14.664,0.233,6.096,15.499,2.89,0.77566004,2.41982,3.01,0.413724,0.375,3.9507277,3.39,20.02422,22.003801,0.0295,3.2009,,0.0024529844644317253,LNT
Financial Services,0.15982,0.03161,0.27613002,0.187,0.13835,-0.676,0.436,0.03881,13,33.601,0.18642999,17.148,171.601,0.243,0.794,4.966,13.13,0.78336996,1.5033779,1.76,0.815017,-0.689,0.68320984,-3.1,9.456968,24.998993,0.0274,3.1204,,0.1303471178935716,ALL
Communication Services,0.35377,0.29512,0.5694,0.324,0.30552,0.377,2.928,0.14493,40,11.329,0.32069,211.278,385.886,2.8,6.468,18.282,135.46,0.80130994,7.0759964,1.19,1.069617,0.356,6.900623,0.8,19.85228,23.968466,,0.9156,0.12250569599863374,0.14136944615874272,GOOGL
Communication Services,0.35377,0.29512,0.5694,0.324,0.30552,0.377,2.928,0.14493,9,11.329,0.32069,211.278,385.886,2.8,6.471,18.291,135.5,0.66378,7.0791535,0.93,1.069617,0.356,6.9006214,0.8,19.855276,23.97916,,0.916,0.12250569599863374,0.14136944615874272,GOOG
Consumer Defensive,0.57619,0.11724,0.66032,0.006,0.56463003,-0.149,0.709,0.17139,17,,3.64238,2.492,11.442,0.535,5.559,9.648,5.15,0.58943003,,1.5,0.636996,-0.156,4.445896,2.0,9.996117,38.532936,0.0699,8.7636,,0.09568471413007437,MO
Consumer Cyclical,0.12595001,0.07101,0.42032,0.094,0.052950002,0.975,1.136,0.041929998,52,100.864,0.28806,188.759,928.502,0.905,3.371,26.764,72.68,0.60417,11.32459,0.93,1.126802,0.983,3.331234,1.7,42.319344,47.458263,,2.7235,0.11930475797216818,0.24793432406315583,AMZN
Consumer Cyclical,0.15439999,0.06984,0.20031999,0.13,0.10958,0.057,1.256,0.054970004,7,157.955,0.20518999,0.207,8.864,0.586,3.107,20.125,0.85,0.40799,3.9945836,6.65,0.41189,0.027,1.3145434,2.14,13.882353,19.124798,0.040700004,,0.007775445144234508,0.09944794339475935,AMCR
Technology,0.24674,0.19240999,0.48248002,0.488,0.22198,-0.454,2.024,0.21327,39,9.764,0.47428,3.008,13.548,1.49,8.66,35.095,4.61,0.52593,19.491224,0.85,1.950273,-0.453,11.987843,0.92,26.260302,47.105057,,1.4903,0.17311670926128758,0.0881100158208592,AMD
Utilities,0.42834,0.16179001,0.48880002,0.166,0.24007,0.045,0.696,0.0271,12,138.488,0.10524,0.031,23.874,0.293,5.868,13.699,4.34,0.76398003,2.2857826,1.89,0.346593,0.087,3.623481,2.62,19.82258,22.403646,0.0274,2.7591,,-0.022225853897695703,AEE
Industrials,-0.09511,-0.066700004,0.064720005,1.34,-0.17325,,0.912,-0.05037,18,,,19.149,46.4,0.733,1.509,-15.862,2.16,0.54491,,2.51,1.64346,,0.37930304,0.08,8.083333,,,,,0.03674452847868282,AAL
Utilities,0.37779,0.14817001,0.45594,0.125,0.21090001,0.229,0.628,0.02628,15,163.841,0.11451,1.237,33.549,0.216,4.877,12.908,4.97,0.74173,2.0106986,2.18,0.346096,0.237,2.686208,3.21,18.0,18.03629,0.0349,2.8033,,-0.007062887089090043,AEP
Financial Services,0.0,0.18402,0.70319,0.278,0.23216999,0.245,1.55,0.04243,24,189.751,0.35694,28.703,55.512,1.545,3.822,,11.31,0.86976,6.6471076,2.19,1.154649,0.195,3.3584025,0.56,17.127321,19.332335,0.0089,0.8917,,0.34916322290463253,AXP
Real Estate,0.58402,0.27442,0.71336997,0.152,0.33473,0.207,0.411,0.03343,18,573.439,0.37077,4.281,20.724,0.295,17.058,29.208,5.85,0.93456,20.946661,1.64,,0.242,11.372574,2.72,39.941883,41.28269,0.024,2.2411,,0.0867381290812128,AMT
Utilities,0.48599997,0.32137,0.54784,0.03,0.32417,3.424,0.726,0.03132,13,151.781,0.18368,0.732,21.593,0.328,9.845,20.257,4.83,0.87544,3.7996764,1.87,0.385877,3.448,7.060456,4.02,31.612837,22.001442,0.015800001,3.7689,,-0.01984732824427481,AWK
Financial Services,0.31622,0.20531,0.56446,0.18,0.30893,3.164,9.631,0.01518,10,53.333,0.47784,64.288,114.606,8.556,2.192,6.933,29.61,0.84005,5.904251,1.42,,2.96,2.4977453,0.43,10.225261,13.163913,0.0149,0.805,,0.25552332068734657,AMP
Healthcare,0.01516,0.0073,0.03339,0.135,0.01254,0.177,0.946,0.0335,12,1328.998,36.06705,15.152,1068.705,0.493,0.158,10.402,11.57,0.66083,122.87446,1.77,0.481352,0.198,0.1342405,1.25,12.266206,18.402489,0.012999999,1.5901,,0.016796441111651787,ABC
Industrials,0.28861,0.1785,0.34483,0.254,0.23594,0.273,1.362,0.0735,16,39.592,0.15444,1.497,24.016,0.813,5.759,19.954,5.85,0.89103997,4.3781815,1.58,1.311785,0.274,5.4252105,-19.12,22.199999,30.557646,0.0069,1.7205,,0.10888713162898354,AME
Healthcare,0.48431,0.22684,0.75157,0.032,0.35944,0.217,1.591,0.09405,24,507.149,0.73164004,14.428,45.577,1.139,5.866,12.113,19.15,0.77936995,18.91759,4.19,0.616111,0.176,4.8678656,1.76,11.855352,22.084631,0.0342,1.3729,0.18549597752030486,0.20662843065552947,AMGN
Technology,0.23575,0.14626001,0.31277,0.248,0.19938,0.274,2.435,0.10037,14,79.179,0.26711,2.073,18.191,1.51,4.589,19.467,3.02,0.98303,7.305827,1.91,1.262555,0.303,4.2320037,2.61,25.44702,30.208334,0.0104,2.8315,0.029210301297316183,0.08418304018829934,APH
Technology,0.40834,0.15182,0.61025,0.722,0.23743999,-0.49,2.087,0.03449,24,16.709,0.05178,3.421,19.346,1.543,10.576,25.9,9.08,0.87896,2.2667785,1.55,1.112879,-0.279,10.047206,1.22,17.854626,55.73049,0.0188,1.7972,0.1771078637812187,0.12553444891331111,ADI
Technology,0.32841,0.23843001,0.89655995,0.051,0.27236,-0.067,2.105,0.05293,14,19.643,0.105950005,7.658,21.891,2.037,14.591,44.428,8.84,0.94969004,6.299375,1.18,1.287419,-0.058,14.840009,3.28,36.69457,62.864346,,3.3282,0.21233902287442014,0.37518821638262667,ANSS
Healthcare,0.07045,0.04403,0.25965,0.15,0.06455,1.111,1.465,0.06078,21,66.508,0.17583,136.873,568.675,1.331,0.705,10.001,32.2,0.9211,3.0418372,1.64,1.06713,1.064,0.7896339,1.21,14.089751,18.345734,0.0116,1.3269,,0.1919101577432687,ANTM
Financial Services,0.31764,0.10293,0.44911,0.039,0.2909,0.719,0.998,0.06924,12,900.086,0.55178,3.16,54.263,0.2,5.948,18.724,14.63,0.92487997,59.313625,2.41,0.909,0.647,5.140236,1.49,20.023924,52.783783,0.0069999998,1.8223,,0.1314688755843517,AON
Energy,0.55701,0.12125,0.63302,0.905,0.3696,38.999,1.124,0.14232999,26,,27.07216,0.871,21.457,0.801,2.583,4.636,5.52,0.87285006,,1.15,4.451516,37.2,1.4549466,-0.22,6.0996375,13.0,0.0149,0.3492,,0.04685358255451713,APA
Technology,0.33890998,0.26579002,0.43019,0.112,0.309,0.25,1.038,0.19875,44,170.714,1.45567,3.916,22.838,0.875,7.267,21.441,6.56,0.59516,37.448887,0.88,1.187468,0.204,7.1109953,1.75,25.129574,27.406485,0.0053,3.2493,0.059904269074427925,0.06006555190163388,AAPL
Technology,0.33775002,0.27097,0.47675,0.215,0.32112,0.639,2.508,0.1991,33,48.419,0.56071997,6.494,26.754,1.647,4.961,14.688,9.4,0.81421,10.083959,1.17,1.412729,0.586,4.985863,0.95,14.438298,18.90514,0.0070999996,1.9585,0.10774834149937129,0.051337640376360405,AMAT
Consumer Cyclical,0.12678,0.03778,0.15609999,-0.019,0.077410005,-0.952,2.005,0.042529996,24,52.132,0.0731,11.604,57.746,1.489,2.454,19.358,6.3,0.97955,4.4075704,1.78,2.104922,-0.896,2.3556092,0.62,21.587301,70.10309,,1.271,,0.06921500832372902,APTV
Technology,0.33075002,0.28523,0.63798,0.271,0.31368,0.284,4.336,0.110369995,17,1.931,0.23041001,11.077,9.618,3.536,11.759,35.553,4.17,0.66128,9.550693,1.39,1.245151,0.308,12.873498,1.91,29.616306,46.95817,,1.8529,0.19903142328267928,0.12526572766895394,ANET
Financial Services,0.106879994,0.13471,0.114029996,0.067,0.09003,-0.04,0.452,0.01459,6,41.223,0.107209995,41.489,172.26,0.166,0.909,8.509,14.04,0.97291,1.7103888,1.29,0.633515,-0.112,0.9118698,0.79,11.995014,7.3779902,0.0162,,,,AIZ
Communication Services,0.33605,0.11892,0.52739,-0.104,0.21855,,0.701,0.04282,23,113.493,0.118310004,2.969,23.558,0.509,2.225,6.622,3.22,0.54784,1.0265328,1.4,0.631526,,1.0113848,2.05,7.4254656,8.650507,0.087,3.8288,,0.17345319310214136,T
Utilities,0.40022,0.19532,0.49765,0.197,0.25995,-0.302,0.809,0.031659998,9,95.652,0.09056,0.881,26.256,0.131,6.304,15.752,5.89,0.88297,1.8269665,2.19,0.497212,-0.254,4.2485194,2.59,18.521223,21.30664,0.0257,,,0.00564579793337618,ATO
Technology,0.18621,0.31305,0.91737,0.182,0.16372,0.034,0.809,0.05957,21,238.261,1.9555299,8.147,19.181,0.723,14.82,79.587,6.83,0.92739,37.78734,1.23,1.400519,0.034,11.464278,1.92,32.155197,37.04791,,,0.23738919375263826,0.49271844660194175,ADSK
Consumer Cyclical,0.23405,0.15076,0.5261,0.163,0.20647,0.38,0.785,0.13464,17,,,16.423,698.591,0.173,8.633,36.883,116.8,0.93184,,3.14,0.89259,0.255,2.5406065,1.41,15.964297,18.179274,,,,0.3233350775158694,AZO
Real Estate,0.59384,0.4437,0.62441003,0.026,0.26909,-0.462,1.045,0.01983,23,73.709,0.09413,2.335,16.342,0.483,18.985,31.969,3.92,0.91248,3.153834,2.39,0.951168,-0.466,14.978839,17.38,62.257652,33.731857,0.0249,,,0.025099390842926422,AVB
Industrials,0.15696,0.09115,0.2798,0.097,0.13286,-0.039,1.065,0.09968001,11,161.333,0.47794998,1.965,98.869,0.645,2.381,15.167,9.73,0.90832,8.301643,1.76,1.010939,-0.046,1.8171499,2.64,18.532375,20.244753,0.0136,,0.016180162088503192,0.13439001649573262,AVY
Energy,0.14182,0.00682,0.19983,0.009,0.086289994,,1.592,0.03026,26,39.704,0.01663,4.976,26.374,1.032,1.345,9.485,1.21,0.97176003,1.791897,3.82,1.623376,,1.2511728,0.11,24.380165,163.88889,0.028800001,,,0.11596232794011109,BKR
Consumer Cyclical,0.15515,0.06103,0.20296,0.149,0.10348,-0.25,0.965,0.04615,17,237.052,0.24055,4.464,40.473,0.642,2.806,18.087,4.07,0.87606,7.968956,6.34,0.476938,-0.257,2.2231476,1.69,22.32678,37.425865,0.0088,,,0.044563279857397504,BLL
Financial Services,0.0,0.34126,0.0,0.125,0.36258,0.347,,0.010679999,25,,0.11778,96.467,11.033,,1.646,,3.16,0.72406,1.4898899,1.0,1.426653,0.282,3.931908,0.56,14.246835,13.479042,0.019299999,,,0.563042248711409,BAC
Consumer Cyclical,0.22125,0.12314,0.48724997,-0.012,0.18044001,-0.72,2.08,0.17035,,,,5.591,47.477,1.173,1.46,6.6,4.15,0.95279,,2.42,1.758329,-0.734,1.0807099,1.33,13.1204815,9.48441,0.0143,,,0.31510086941841814,BBWI
